UID	row_clusters-flat	HSCP-1	NK	HSCP-2	Meg	Eryth	Multi-Lin	IG2	DC	MDP	Mono	Gran	Myelocyte
Calcrl	7	8.170876466	0.0	6.18646094	1.2246089965	0.46980136	0.0	3.626439137	0.286881148	1.713266569	0.0	0.0	1.1533644335
Gimap1	7	4.676944359	0.0	3.237257771	0.0	0.0	0.98550043	0.97819563	0.0	0.0	0.0	0.0	0.0
B2m	7	11.98829769	13.81958536	12.17175539	11.490506015	11.468039145	11.16427215	10.97466553	10.79706163	11.33065807	11.10158627	10.925490815	10.60169054
Zfp608	7	3.217230716	0.0	3.023255352	0.0	0.0	0.189033824	1.220329955	0.0	0.176266278	0.1309158295	0.0	0.0
Pde4b	7	3.956056652	0.0	3.994579724	0.5338193585	0.4263989465	1.989139007	1.344828497	0.0	0.327584309	0.0	0.0	0.0
Ikzf2	7	0.565597176	0.176322773	3.626439137	0.143440574	0.4732531495	4.56924803	0.516015147	0.097610797	0.0	0.0	0.0	0.0
Cbfa2t3	7	5.622344723	5.723012396	6.414304695	6.38370094	6.3519636145	4.916476644	1.339137385	6.44625623	3.5602609905	3.47549545	2.402607528	0.0
Tmem176b	7	9.677208707	1.150559677	9.026080745	7.165422122	0.92215265	8.095871689	8.625854931	1.673556424	8.935533929	7.35216704	0.0	0.0
Abcg1	7	8.411934625	4.391630262	8.472487771	7.0878971725	2.7053096245	6.050719348	5.432625411	7.776433032	4.556201768	4.988097817	0.932127746	0.068751762
Myct1	7	0.910732662	0.0	3.502075956	0.2375424415	0.0	0.659924558	0.0	0.0	0.0	0.0	0.0	0.0
Tsc22d1	7	8.170525999	0.0	6.289834465	3.011554473	4.945949557	0.0	0.0	0.0	1.111170448	0.0	0.0	0.0
Msi2	7	5.658782734	0.250961574	5.697384631	3.959769857	3.3579082565	3.770829046	1.815575429	0.22650853	0.388893952	0.1309158295	0.0	0.0
Gpr133	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem40	7	0.0	1.250961574	1.327687364	8.6373271465	0.524815384	0.0	0.0	0.0	0.0	0.0	1.600942371	3.1222551785
Fhl1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tbxas1	7	0.0	0.0	0.0	6.0815900945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plxnc1	7	0.163498732	4.535430915	0.321928095	5.309441876	3.68068329	0.0	0.0	0.0	0.232647695	0.0	0.0	0.0
Tal1	7	0.0	0.0	0.298658316	2.5796107365	4.137963767	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mllt3	7	0.0	0.0	0.0	0.11939343	0.0	0.0	0.0	0.40053793	0.0	0.0	0.0	0.0
Gng11	7	0.0	0.0	0.0	4.958605844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lmo2	7	7.220136447	0.0	8.107687869	7.934552835	7.2428000325	6.589613698	6.705425039	0.5360529	5.8604041135	5.8493766385	6.0749974035	3.3551690425
Tgtp2	7	8.604886762	7.413120146	7.12763328	1.653481062	4.9546615455	2.432959407	0.0	0.0	1.563965186	0.0	0.0	0.0
Csgalnact1	7	0.0	0.0	0.0	1.484736432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ube2l6	7	3.528571319	0.0	3.99095486	2.950032477	3.285049284	0.0	0.0	0.604071324	0.352435982	0.0	0.61694403	6.712249287
Ptplad2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pbx1	7	0.263034406	0.23878686	1.851998837	8.174963424	0.3102932055	0.650764559	0.0	1.485426827	0.081749366	0.0	0.0	0.4781770425
Gucy1a3	7	0.0	0.0	0.0	0.194783406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Serpina3g	7	1.169925001	5.836429131	4.820689561	5.627731483	0.0	3.246408087	3.593353771	0.0	0.0	0.0	0.0	0.0
Mmrn1	7	0.0	0.0	0.0	3.177023287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem181c-ps	7	4.474436043	0.0	3.981852653	3.2071117495	2.4810616385	2.353323291	1.794935663	0.389566812	1.235853863	1.744135384	1.04947924	1.3861539875
Hlf	7	2.543495883	0.0	4.844486088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mpl	7	0.59454855	0.0	1.531069493	7.8186328665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adamtsl5	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il7	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vdr	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scml2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zbtb9	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tha1	7	0.0	0.713695815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Samd12	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mecom	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fstl1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tnip3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gata3	7	0.0	6.986638472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nkx2-3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unc5a	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Procr	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tgm2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abcg3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bex4	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clec1a	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem140	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ctnnal1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glul	7	0.941106311	0.613531653	2.066950244	0.2375424415	3.072792878	0.90303827	2.189033824	0.0	0.759015746	1.2226779595	0.9068033875	0.0
Cdc42bpb	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttc23	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc16a9	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unc45b	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cish	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ptprf	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cadps2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdcp1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trim6	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rgs1	7	5.542877099	0.0	6.058099988	3.594727472	1.5644106405	6.338959175	0.0	0.90303827	0.0	0.0	0.0	0.0
Angpt1	7	5.870611313	0.0	7.349966747	7.4479610515	0.993059818	6.434461432	3.931683057	0.0	0.2568969535	0.0	0.0	0.0
Gpr56	7	8.39459131	1.021479727	8.933690655	8.394665894	6.8742387615	8.612684233	8.278681758	0.389566812	5.4822776535	0.959383925	0.0	0.0
Car2	7	8.9175511	5.263034406	10.79113032	9.023548136	11.67173878	5.353676158	3.066950244	1.333423734	1.468295415	0.0	0.0	0.0
Ctla2a	7	7.678071905	4.771885579	8.584661908	5.9632128635	3.3632793895	5.988230223	4.46662712	4.160274831	3.210956669	2.520621491	2.5030255595	1.859985971
Meis1	7	7.774852935	0.454175893	9.018979052	8.3731716745	1.091759137	5.62556274	0.565597176	0.411426246	1.173123887	0.0	0.0	0.0
Lat	7	0.0	0.0	0.0	4.7108932525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nrgn	7	0.0	0.0	0.0	4.277951397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fyb	7	3.714795011	5.365972428	1.782408565	5.41280442	1.929984774	3.975446766	0.807354922	0.0	0.5555156565	0.0	0.0	0.3253822795
Dpysl2	7	8.245790363	8.774161097	8.349126389	7.9183129255	5.8691685965	7.141596278	6.385431037	10.04060481	7.5907340805	6.125822049	0.068751762	0.0
Ifitm1	7	8.696411199	0.0	9.29041058	1.955443066	4.443686933	7.197708158	7.404119724	0.0	4.724626229	0.0	0.0	0.0
Samsn1	7	7.516251583	2.35614381	6.862451391	4.8633853875	6.519136393	6.826548487	5.456149035	0.790772038	4.6021076585	2.49621428	0.515979871	2.2135013445
Spns2	7	0.847996907	0.59454855	4.791814071	0.0	2.087482809	0.757023247	0.0	0.0	0.1609640475	0.0	0.0	0.0
Ifitm3	7	9.960161257	1.855989697	9.75043902	10.028843979	7.0547102685	7.930145948	8.330065347	7.819923596	8.4299079915	7.966875383	0.0	6.7502109765
Pdzk1ip1	7	0.0	0.0	0.0	4.601073669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pitpnc1	7	6.605553595	6.073820233	6.447248569	5.023906389	6.9869491615	5.445925299	5.209063395	0.782408565	4.5775223095	3.997625229	2.3289228815	1.035194664
Rbp1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arglu1	7	9.795763702	9.245457633	10.1875624	8.883084315	9.0079568825	9.06773013	9.068939464	8.931948929	8.7559282565	8.5218088395	8.2329447575	5.704939624
Rbm26	7	7.54712589	3.854993017	7.733557714	6.7708820655	6.068172383	6.231509211	6.499367566	4.750070486	6.2317247005	5.8408005085	5.093661189	0.125480787
Zfp36l2	7	9.417894698	7.623442581	8.918744001	7.275498121	7.0099789095	7.134323634	6.962317655	7.449973986	7.12535519	6.303778795	4.6107587615	0.2111165005
Gnb1	7	10.14922633	7.698149009	10.46836949	10.1076457405	9.139269669	9.610452772	9.851686586	10.02196547	9.502022681	9.3998114275	8.975163805	7.5120723635
Gata2	7	0.443606651	0.464668267	6.797012978	7.302268275	7.777600156	7.141494101	2.606442228	0.422233001	0.0	0.0	0.0	0.0
Vamp5	7	5.100977648	0.82374936	7.451540833	8.2490830555	9.2085045335	5.863195112	4.733896605	0.731183242	0.0	0.0	0.0	5.897827575
Slc22a3	7	0.575312331	0.0	0.669026766	5.4768444755	4.229791219	2.526068812	0.632268215	0.0	0.0	0.0	0.0	0.0
Vezf1	7	2.521050737	0.713695815	5.488322191	5.5710516135	3.385955991	4.121015401	3.012568674	0.545968369	0.774366266	0.150501128	0.113254265	0.31352323
Muc13	7	1.10433666	0.584962501	6.695576306	7.402578189	7.3706778755	7.461070114	7.286511558	0.5360529	1.1442678755	1.080621379	0.0	0.0
Gnb4	7	0.0	0.0	0.0	0.0	1.190281615	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ptrf	7	0.0	0.0	0.0	2.6559240995	4.907673714	2.220329955	0.0	0.275007047	0.0	0.0	0.0	0.0
Rtp4	7	4.003602237	4.904965719	0.641546029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox4	7	3.815575429	0.0	2.684818738	0.0	0.0	2.333423734	2.443606651	0.0	2.2985122815	0.0	0.0	0.0
Cd34	7	9.665673454	1.007195501	7.808899839	1.831512878	0.629832092	8.553706082	8.388318713	4.317593505	9.157377556	7.746465868	0.395052371	0.0
Eltd1	7	7.30241045	0.0	7.118629666	0.438283029	0.0	3.906890596	6.449891473	0.0	1.584224746	1.6307954945	0.2690207265	0.0
Tspan13	7	6.610434315	0.0	6.351910961	1.881705787	4.2801215105	3.731183242	3.414135533	0.0	0.0	0.0	0.0	0.0
Elf1	7	7.71609922	0.40053793	6.226701185	7.500756261	0.835646686	5.687060688	5.93593114	6.042644337	6.9424829645	6.272984136	5.7550013845	2.243903942
Xrcc6	7	5.751142325	0.0	1.361768359	6.0336319145	6.9889850555	3.423578171	5.014801602	0.713695815	5.192566391	5.3157204145	5.2203286575	0.0
Dusp2	7	5.308521062	0.0	3.424922088	0.0	0.0	1.839959587	1.063502942	0.0	0.8533205285	0.0	0.0	0.0
Mta3	7	4.147306699	0.0	0.963474124	0.0	5.408210255	1.304511042	0.411426246	0.0	0.731418801	0.0	0.0	0.0
Clec2i	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2164797035	0.0	0.0	0.0
Ldlrad4	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carns1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bfsp2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cobll1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actn2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Evl	7	0.0	3.137503524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc35d3	7	0.0	0.0	0.0	0.886048396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccl3	7	3.524815928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crip1	7	8.915222101	11.14563925	7.657782896	8.2816019505	8.61569077	7.74819285	7.915939117	12.25546238	7.0993952015	6.620419512	5.3331966935	0.0
Mef2c	7	6.54426899	0.464668267	4.131754091	8.022349475	3.040478031	0.59454855	5.483170853	1.286881148	6.106667975	3.801010157	1.775548803	0.0
Il18rap	7	0.422233001	9.623003538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4682483035
Notch1	7	0.871843649	0.163498732	0.0	0.0	0.0	0.0	0.0	0.0	0.8159479295	0.383530749	0.244565926	1.0512282885
Slc18a1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccdc135	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rag2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccl4	7	5.285772093	0.0	1.673556424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rgl1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lck	7	0.895302621	4.252476214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gimap7	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cnn3	7	0.713695815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28731488	0.485390023	0.0	0.0
Wfdc18	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lpar1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem108	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifi27l2a	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tlr7	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ddx4	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tcf4	7	5.576824431	0.22650853	4.108524457	2.247028566	4.138034977	1.970853654	3.958842675	4.044394119	4.4146000495	2.49806781	0.2316019605	0.0
Emp1	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-Ob	7	3.635754391	0.0	0.0	0.0	0.2111165005	0.0	0.0	2.09085343	0.0	0.0	0.0	0.0
Pan3	7	8.479093103	7.163498732	8.236970886	5.269714888	6.7272304985	6.585413272	6.653776599	6.850249358	6.395475188	6.024907806	5.6562615435	2.484137555
Wfdc17	7	7.731726323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Satb1	7	5.310703657	0.0	0.286881148	0.0	0.0	0.992768431	0.0	0.0	1.56041649	0.0	0.0	0.0
Myl10	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il1r1	7	4.050501697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il12a	7	8.457257742	0.0	0.82374936	2.209263651	0.0	0.0	0.0	0.0	3.327263598	0.7697655355	0.2478475815	0.0
Sdc4	7	0.782408565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il7r	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cox6a2	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flt3	7	8.324450605	0.0	1.042644337	0.0	0.0	0.0	0.0	5.877989585	3.1555807915	0.0	0.0	0.0
Arpp21	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mn1	7	7.616989855	0.0	0.333423734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dntt	7	8.327238248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spry2	7	5.999774561	7.056908618	5.073391816	2.0284001315	0.0	5.256255873	5.172327492	0.0	0.2924812505	3.680323918	5.21217937	0.0
Fads3	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Egfl7	7	5.959538341	0.0	0.0	0.0	2.3358448315	0.0	0.0	0.0	3.9390266825	0.0	0.0	0.0
Tcf7l2	7	4.503348735	0.0	0.650764559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Notch2	7	5.523248293	4.375039431	5.234961095	2.912791065	4.404956718	4.111031312	3.775050541	7.399683809	3.8991432255	3.528557777	2.5395866385	2.783255378
Kdm6b	7	4.106850796	0.0	3.59812696	0.640478157	2.0226122615	3.218781168	3.13422094	0.757023247	1.631787658	1.459345767	1.7001938205	2.695822004
Gvin1	7	2.895302621	5.081936082	2.283921772	0.344783772	0.0071776465	0.584962501	0.50589093	0.765534746	0.911059137	1.1074975675	0.4904879065	0.0071776465
Gm4070	7	5.498250868	7.817111573	3.907852072	1.616115477	0.0071776465	1.875780063	2.137503524	2.948600847	3.138493951	2.981240965	1.1982167655	0.0
Gm17757	7	1.815575429	4.771357409	1.5360529	0.166711867	0.0	0.604071324	1.195347598	0.0	0.9366309975	1.4356261295	0.5896918275	0.11939343
Gm1966	7	5.63691458	7.746984506	3.499527024	1.968916998	0.0	2.987320866	3.217230716	2.319039816	4.0699866775	4.418120351	3.8501328065	0.8556373155
Pigr	7	2.518535139	0.0	0.333423734	0.383785028	0.0	0.367371066	2.09423607	0.0	0.0	0.6135008375	2.3864310915	0.658507287
Lef1	7	0.0	7.855304553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gimap3	7	0.0	9.843811157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tulp4	7	0.0	5.044831233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd247	7	0.0	7.009772644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gbp4	7	0.0	5.015693807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Itgal	7	0.495695163	7.292137545	0.0	0.0	0.0	0.545968369	0.35614381	0.263034406	1.778643771	0.8598326765	0.0	0.774957777
Apol7e	6	0.0	9.788767264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Apol7b	6	0.0	9.788767264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccl5	6	0.0	13.59543466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd7	6	0.0	9.71336933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klri2	6	0.0	6.411256746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klrb1c	6	0.0	6.320845668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd2	6	0.0	11.23152121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ncr1	6	0.0	12.23266675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klrd1	6	0.0	11.52980143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xcl1	6	0.0	10.71416823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Traf1	6	0.0	6.658925511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ahnak	5	0.0	5.66106548	0.0	0.0	0.0	0.0	0.0	4.782408565	0.070389328	0.0	0.0	0.0
Ppfia4	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.249919335	0.0	0.0	0.0	0.0
Cdon	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Itgb7	5	0.0	1.201633861	0.0	0.0	0.0	0.0	0.0	7.76513689	0.0	0.0	0.0	0.0
Kmo	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.468664768	0.0	0.0	0.0	0.0
Ckb	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.415826257	0.0	0.0	0.0	0.0
Pqlc2	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.356495988	0.0	0.0	0.0	0.0
Slc46a3	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.590811576	0.0	0.0	0.0	0.0
Camk1d	5	0.59454855	0.22650853	0.0	0.0	0.0	0.0	0.0	6.269407241	0.0	0.0	0.0	0.0
Rnd3	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.675815931	0.0	0.0	0.0	0.0
Cd74	5	0.0	0.0	0.0	0.0	1.055515656	0.0	0.0	13.65332654	0.0	0.0	0.0	0.0
Clec9a	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.361768359	0.0	0.0	0.0	0.0
Slamf7	5	0.0	5.586464526	0.0	0.0	0.0	0.0	0.0	4.527946099	0.0	0.0	0.0	0.0
H2-Aa	5	0.0	0.0	0.0	0.0	0.5071776465	0.0	0.0	13.66902344	0.0	0.0	0.0	0.0
Ptpro	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.647422449	0.0	0.0	0.0	0.0
Mycl	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.712045449	0.0	0.0	0.0	0.0
Ifi205	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.125258473	0.0	0.0	0.0	0.0
Tspan33	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.895302621	0.0	0.0	0.0	0.0
H2-Ab1	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.78997983	0.0	0.0	0.0	0.0
AI607873	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.517275693	0.0	0.0	0.0	0.0
Slamf8	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.837943242	0.0	0.0	0.0	0.0
L1cam	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86393845	0.0	0.0	0.0	0.0
Tmem51	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
