ID	Database	Species_Specific	exclude	SystemCode
6690	Ens_Dm_gene	Drosophila melanogaster	exclude	
5800	Ens_Dr_gene	Danio rerio	exclude	
5810	Ens_Dr_transcript	Danio rerio	exclude	
5820	Ens_Dr_translation	Danio rerio	exclude	
6720	Ens_Fr_gene		exclude	
6400	Ens_Gg_gene	Gallus gallus	exclude	
6410	Ens_Gg_transcript	Gallus gallus	exclude	
6420	Ens_Gg_translation	Gallus gallus	exclude	
2700	Ens_Hs_gene	Homo sapiens	exclude	
2710	Ens_Hs_transcript		exclude	Er
2710	Ens_Hs_transcript	Homo sapiens	exclude	
2720	Ens_Hs_translation		exclude	Et
2720	Ens_Hs_translation	Homo sapiens	exclude	
5900	Ens_Md_gene		exclude	
5000	Ens_Mm_gene	Mus musculus	exclude	
5010	Ens_Mm_transcript	Mus musculus	exclude	
5020	Ens_Mm_translation	Mus musculus	exclude	
6300	Ens_Ol_gene		exclude	
6750	Ens_Pt_gene		exclude	
6200	Ens_Rn_gene	Rattus norvegicus	exclude	
6780	Ens_Rn_gene	Rattus norvegicus	exclude	
6810	Ens_Tn_gene		exclude	
6820	Ens_Tr_transcript	Takifugu rubripes	exclude	
4800	ENST		 	Enst
4820	ENST_CDS		 	Enst
4810	ENST_ident		 	Enst
1300	EntrezGene		 	L
10100	EPD			Epd
12610	Fantom		 	Fa
804	flybase_annotation_id	Drosophila melanogaster	 	F
800	flybase_gene_id	Drosophila melanogaster	 	F
802	flybase_gff	Drosophila melanogaster	 	F
807	flybase_name	Drosophila melanogaster	 	F
803	flybase_polypeptide_id	Drosophila melanogaster	 	F
805	flybase_symbol	Drosophila melanogaster	 	F
806	flybase_synonym	Drosophila melanogaster	 	F
808	flybase_transcript_id	Drosophila melanogaster	 	F
801	flybase_translation_id	Drosophila melanogaster	 	F
826	FlyBaseCGID_gene	Drosophila melanogaster	 	F
827	FlyBaseCGID_transcript	Drosophila melanogaster	 	F
828	FlyBaseCGID_translation	Drosophila melanogaster	 	F
821	FlyBaseName_gene	Drosophila melanogaster	 	F
825	FlyBaseName_transcript	Drosophila melanogaster	 	F
824	FlyBaseName_translation	Drosophila melanogaster	 	F
883	FlyReactome	Drosophila melanogaster		Rr
882	FlyGrid	Drosophila melanogaster	 	Fg
810	gadfly_gene_cgid	Drosophila melanogaster	 	Gf
811	gadfly_transcript_cgid	Drosophila melanogaster	 	Gf
812	gadfly_translation_cgid	Drosophila melanogaster	 	Gf
8500	GasAcu_cdna		 	Gas
2600	GeneDB		 	Gd
10900	GI			Gi
900	GKB		 	Gk
1000	GO		 	Go
10200	GPCR			Gpcr
6100	Havana_gene		 	Ha
1100	HGNC	Homo sapiens	 	Hg
12305	HGNC_automatic_gene	Homo sapiens	 	Hg
12405	HGNC_automatic_transcript	Homo sapiens	 	Hg
12300	HGNC_curated_gene	Homo sapiens	 	Hg
12400	HGNC_curated_transcript	Homo sapiens	 	Hg
12510	HPA	Homo sapiens	 	Hpa
3250	Illumina		 	Il
3255	Illumina_V1		 	Il
3256	Illumina_V2		 	Il
6500	IMCB_Tr_gene		 	Ic
7201	IMGT/GENE_DB		 	Im
7200	IMGT/LIGM_DB		 	Im
5100	IMGT_HLA		 	Im
1200	Interpro		 	Ip
3500	IPI		 	Ip
7170	Ixodes_ManualAnnotation		 	Im
9800	kyotograil_2004	Ciona intestinalis	 	Ky
9900	kyotograil_2005	Ciona intestinalis	 	Ky
4700	Medaka	Oryzias latipes	 	Medaka
4000	MEDLINE		 	Me
10300	MEROPS			Merops
1400	MGI	Mus musculus	 	M
12555	MGI_automatic_gene	Mus musculus	 	M
12565	MGI_automatic_transcript	Mus musculus	 	M
12550	MGI_curated_gene	Mus musculus	 	M
12560	MGI_curated_transcript	Mus musculus	 	M
1500	MIM		 	Mi
1510	MIM_GENE		 	Mi
1520	MIM_MORBID		 	Mi
3300	miRBase		 	Mb
3310	miRBase_predicted		 	Mb
10600	modCB_gene	Caenorhabditis elegans		Mg
10700	modCE_gene	Caenorhabditis elegans		Mg
10800	modDD_gene			Mg
8600	OrnAna_454_cdna	Ornithorhynchus anatinus	 	Orn
9500	OryLat_est		 	Ol
4600	OTTG		 	Ot
4620	OTTP		 	Ot
4610	OTTT		 	Ot
5200	Oxford_FGU_Md_gene		 	Of
5300	Oxford_FGU_Md_tscript		 	Of
5400	Oxford_FGU_Oa_gene	Ornithorhynchus anatinus	 	Of
5500	Oxford_FGU_Oa_tscript	Ornithorhynchus anatinus	 	Of
1600	PDB		 	Pd
8300	PIR		 	Pir
3299	Platypus_exon	Ornithorhynchus anatinus	 	Pe
8100	Platypus_olfactory_receptor	Ornithorhynchus anatinus	 	Pr
2010	prediction_SPTREMBL		 	S
8200	PRF		 	Prf
1700	protein_id		 	Pi
1701	protein_id_predicted		 	Pi
3900	PUBMED		 	Pu
1800	RefSeq_dna		 	Q
1805	RefSeq_dna_predicted		 	Q
1830	RefSeq_genomic		 	Q
1810	RefSeq_peptide		 	Q
1815	RefSeq_peptide_predicted		 	Q
1820	RefSeq_rna		 	Q
1825	RefSeq_rna_predicted		 	Q
4200	RFAM		 	Rf
2800	RGD	Rattus norvegicus	exclude	R 
1900	Sanger_Hver1_2_1		 	Sh
1901	Sanger_Hver1_3_1		 	Sh
1910	Sanger_Mver1_1_1		 	Sh
3400	SGD	Saccharomyces cerevisiae	 	D
4680	shares_CDS_and_UTR_with_OTTT		 	Sc
4650	shares_CDS_with		 	Sc
4660	shares_CDS_with_ENST		 	Sc
4670	shares_CDS_with_OTTT		 	Sc
1902	SNGR_Hver		 	Sh
2100	Superfamily		 	Su
9210	TakRub_annotation		 	Tak
8700	TakRub_cdna	Takifugu rubripes	 	Tak
9200	TakRub_est		 	Tak
9220	TakRub_seleno_annotation		 	Tak
4900	TCAG		 	Tc
8400	TetNig_cdna		 	Tet
9460	TetNig_chick_econtig	Gallus gallus	 	Tet
9410	TetNig_fugu_econtig	Takifugu rubripes	 	Tet
9420	TetNig_human_econtig	Homo sapiens	 	Tet
9430	TetNig_human_IPI_econtig	Homo sapiens	 	Tet
9400	TetNig_mouse_econtig	Mus musculus	 	Tet
9440	TetNig_mouse_IPI_econtig	Mus musculus	 	Tet
9450	TetNig_rat_econtig	Rattus norvegicus	 	Tet
12601	Tgut_symbol		 	Ts
4500	Tiffin		 	Ti
9600	Trace_archive		 	Trace
10500	TransFac			Transfac
11000	UCSC			Ucsc
4100	UniGene		 	Ug
2000	Uniprot/SPTREMBL		 	S
2001	Uniprot/SPTREMBL_predicted		 	S
2200	Uniprot/SWISSPROT		 	S
2201	Uniprot/SWISSPROT_predicted		 	S
2202	Uniprot/Varsplic		 	S
2250	UniProtKB_all		 	S
3200	VB_array		 	Ma
2300	Vega_gene		 	Vg
2305	Vega_gene_like		 	Vg
8000	Vega_mouse_transcript	Mus musculus	 	Vt
2310	Vega_transcript		 	Vr
2315	Vega_transcript_like		 	Vr
2320	Vega_translation		 	Vt
12600	WikiGene		 	Wg
2400	wormbase_gene	Caenorhabditis elegans	 	Wb
10000	wormbase_id	Caenorhabditis elegans		Wb
2440	wormbase_locus	Caenorhabditis elegans	 	Wb
2430	wormbase_pseudogene	Caenorhabditis elegans	 	Wb
2410	wormbase_transcript	Caenorhabditis elegans	 	Wb
2420	wormpep_id	Caenorhabditis elegans	 	Wp
9120	XenLae_cdna		 	Xen
4400	Xenopus_Jamboree	Xenopus tropicalis	 	Xj
9110	XenTro_cdna		 	Xen
9100	XenTro_Gurdon_EST		 	Xen
2510	ZFIN_ID	Danio rerio	 	Z
2530	ZFIN_xpat	Danio rerio	 	Z
