GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-HSCP-2_AML	avg-HSCP-2_cellHarmony-Reference
ENSMUSG00000078624	En	-2.16737713759	9.76478062386e-06	0.00218458952744	Olfr613	0.9249853285	3.09236246609
ENSMUSG00000022157	En	2.35163899328	1.0151440385e-05	0.00223446301506	Mcpt8	2.6206731573	0.269034164023
ENSMUSG00000022261	En	1.2258692917	1.11213206806e-05	0.00237343416526	Sdc2	1.2258692917	0.0
ENSMUSG00000003062	En	4.10403735827	1.11306357864e-05	0.00237343416526	Stard3nl	5.2685784655	1.16454110723
ENSMUSG00000041449	En	0.861986631955	1.18243106064e-05	0.00248255948993	Serpina3h	1.0316851903	0.169698558345
ENSMUSG00000033949	En	-1.14103997608	1.3271839468e-05	0.00272777626164	Trim36	0.7123795076	1.85341948368
ENSMUSG00000004947	En	0.8731374362	1.33920282502e-05	0.00272777626164	Dtx2	0.8731374362	0.0
ENSMUSG00000022219	En	1.3607546575	1.40924583248e-05	0.00282823204056	Cideb	1.3607546575	0.0
ENSMUSG00000053137	En	0.977064380448	1.50507217335e-05	0.0029767710072	Mapk11	0.982762026	0.00569764555172
ENSMUSG00000023067	En	3.21327570461	1.63524563673e-05	0.00318802817207	Cdkn1a	3.8909384023	0.67766269769
ENSMUSG00000029073	En	1.30765143858	1.73930799383e-05	0.00334314594251	Gltpd1	1.3443524776	0.036701039023
ENSMUSG00000057322	En	1.39835172044	1.94372807078e-05	0.00368417458082	Rpl38	11.364574727	9.96622300656
ENSMUSG00000051978	En	3.1784086422	2.01454654822e-05	0.00376609818405	Erich1	4.8006568451	1.6222482029
ENSMUSG00000075307	En	-1.45189309138	2.37753764494e-05	0.00434810489221	Klhl41	1.5080630753	2.95995616668
ENSMUSG00000046314	En	1.20267500138	2.38959380755e-05	0.00434810489221	Stxbp6	1.2586777337	0.0560027323218
ENSMUSG00000022114	En	-4.22002526488	2.6583841044e-05	0.00477354840431	Spry2	0.0378511623	4.25787642718
ENSMUSG00000042757	En	0.873109498339	2.77046054928e-05	0.0049101915735	Tmem108	0.9186843085	0.0455748101609
ENSMUSG00000035235	En	3.99022955106	2.93378658772e-05	0.00513299814905	Trim13	5.3451253286	1.35489577754
Zfp85	Sy	2.16634457649	3.02051546904e-05	0.00521784488683	Zfp85	2.3377534167	0.171408840207
ENSMUSG00000073421	En	3.62778882507	3.66092350595e-05	0.00624507788572	H2-Ab1	4.9411722914	1.31338346633
ENSMUSG00000048489	En	2.54222594786	3.73794929069e-05	0.00629775234199	8430408G22Rik	2.7569030756	0.214677127736
ENSMUSG00000004994	En	2.61930440135	3.92815011956e-05	0.00653749569289	Ccdc130	3.0503802419	0.431075840552
ENSMUSG00000075269	En	4.23032664713	4.26453563351e-05	0.00701182142055	Bex6	5.5758919632	1.34556531607
ENSMUSG00000060798	En	-1.8836100883	5.26224225127e-05	0.00854926428609	Intu	1.2535321751	3.1371422634
ENSMUSG00000020128	En	3.11751469749	5.5773757295e-05	0.00895464077418	Vps54	4.1481179269	1.03060322941
ENSMUSG00000039264	En	2.25389757053	5.74801684248e-05	0.00912130068016	Gimap3	2.4627735795	0.208876008966
ENSMUSG00000074342	En	1.03597374926	6.05273835055e-05	0.00949445060574	I830077J02Rik	1.0595327236	0.0235589743448
ENSMUSG00000062007	En	2.28644032235	6.28109582405e-05	0.0097406948535	Hsh2d	2.6000449671	0.313604644747
ENSMUSG00000031362	En	2.09542152728	6.49505577587e-05	0.00995932878352	Xlr4c	2.3494727712	0.25405124392
ENSMUSG00000024781	En	3.29216942109	6.7986512232e-05	0.0102845919738	Lipa	4.2608774132	0.968707992115
ENSMUSG00000043102	En	0.960650145	6.85790188035e-05	0.0102845919738	Qrfp	0.960650145	0.0
ENSMUSG00000071478	En	1.64651301153	7.09769730716e-05	0.0105285081686	Hist1h2ad	1.7883513057	0.141838294172
ENSMUSG00000032220	En	-1.02580971437	7.59369918206e-05	0.0111431411546	Myo1e	0.1102154931	1.13602520747
ENSMUSG00000032177	En	2.27535931964	7.67989356314e-05	0.0111497348358	Pde4a	2.8881210825	0.612761762862
ENSMUSG00000036743	En	2.12539393873	7.93213946415e-05	0.0113947270808	Psma8	2.3886827698	0.263288831069
ENSMUSG00000024501	En	1.1405493635	8.2317409064e-05	0.0116961124141	Dpysl3	1.1405493635	0.0
ENSMUSG00000041308	En	1.48236505603	8.34489957621e-05	0.0116961124141	Sntb2	1.5971392829	0.114774226874
ENSMUSG00000027533	En	4.11052048687	8.39905485881e-05	0.0116961124141	Fabp5	5.9887080685	1.87818758163
ENSMUSG00000051185	En	2.13702531363	8.62320356483e-05	0.0118869554595	Fam174a	2.4156670702	0.278641756575
ENSMUSG00000026748	En	2.8031976202	8.8733734718e-05	0.012109492777	Plxdc2	3.4793991664	0.676201546195
ENSMUSG00000079111	En	-3.24013924045	9.69253071886e-05	0.0130964323485	Kdelr2	4.1350098657	7.37514910615
ENSMUSG00000037531	En	4.10275517113	0.000100590806533	0.0134584582034	Mrpl47	5.6257802069	1.52302503577
ENSMUSG00000035042	En	2.08180573779	0.000105409468548	0.0139662428861	Ccl5	2.3334270412	0.251621303414
ENSMUSG00000004651	En	-1.15875480373	0.000124796823064	0.0163598599803	Tyr	4.1315491311	5.29030393483
ENSMUSG00000043091	En	4.37081693001	0.00012587274111	0.0163598599803	Tuba1c	6.9931476293	2.62233069929
ENSMUSG00000032290	En	2.21778630859	0.000127685198928	0.0164388670733	Ptpn9	2.5721788385	0.354392529908
ENSMUSG00000073557	En	-1.95842612734	0.000132329366143	0.0168775594369	Ppp1r12b	0.5441145349	2.50254066224
ENSMUSG00000041035	En	3.28075536649	0.000138632285146	0.0174349814593	Dpcd	4.5020857516	1.22133038511
ENSMUSG00000027015	En	-1.16717542233	0.000142788759068	0.0177148926818	Cybrd1	1.8253326062	2.99250802853
ENSMUSG00000022018	En	2.70174384475	0.000156387001148	0.0190809086252	Rgcc	3.2863305452	0.584586700448
ENSMUSG00000000594	En	-2.21400967865	0.000156595718181	0.0190809086252	Gm2a	6.3042569394	8.51826661805
ENSMUSG00000004328	En	1.14246130606	0.000160513399621	0.0193851890675	Hif3a	1.2159861028	0.0735247967356
ENSMUSG00000030325	En	0.8690359822	0.000164601555156	0.0197045388001	Klrb1c	0.8690359822	0.0
ENSMUSG00000067288	En	0.919061202632	0.000166384081455	0.0197447266054	Rps28	11.710296431	10.7912352284
ENSMUSG00000028064	En	1.0055465852	0.000171462400615	0.0201719601826	Sema4a	1.0055465852	0.0
ENSMUSG00000060586	En	1.79535396859	0.000179546214881	0.0207649762244	H2-Eb1	2.038541316	0.243187347414
ENSMUSG00000046345	En	-1.05853693987	0.000181397834018	0.0208028255533	Smco1	3.3265049289	4.38504186877
ENSMUSG00000029094	En	0.728419776522	0.000186673447071	0.0212294377682	Afap1	0.7924403682	0.0640205916782
ENSMUSG00000027555	En	1.63737810299	0.000190003394916	0.0214295564497	Car13	1.8194515741	0.182073471115
ENSMUSG00000020323	En	2.42052709257	0.000194388417686	0.0216773842073	Prss57	2.8850917007	0.464564608126
ENSMUSG00000032231	En	4.01336842546	0.000195377611013	0.0216773842073	Anxa2	6.0852986249	2.07193019944
Ldhal6b	Sy	0.644230658	0.000200389511917	0.0220541586221	Ldhal6b	0.644230658	0.0
ENSMUSG00000064147	En	3.3586474786	0.000204385445167	0.0223139853616	Rab44	4.482380963	1.1237334844
Gm17821	Sy	-1.16853739729	0.000211745140475	0.0229340153338	Gm17821	4.1248973317	5.29343472899
ENSMUSG00000079283	En	3.00731967989	0.000218218160881	0.0234490019019	2310009B15Rik	3.7932907244	0.785971044506
ENSMUSG00000033066	En	0.799120397937	0.000236922106089	0.0250641548977	Gas7	0.8043408105	0.00522041256322
ENSMUSG00000009076	En	3.89552907823	0.000244701749619	0.0256880367465	Zmat5	6.0780336844	2.18250460617
ENSMUSG00000031155	En	3.72265412304	0.000249410366739	0.0259824677473	Pim2	4.8814214086	1.15876728556
ENSMUSG00000022313	En	-2.04722587663	0.000253852970717	0.0261691327635	Utp23	2.2395125296	4.28673840623
ENSMUSG00000026688	En	3.71717873445	0.000255037345757	0.0261691327635	Mgst3	4.9347280495	1.21754931505
ENSMUSG00000005474	En	2.32946219297	0.000258955777072	0.0263729066396	Myl10	2.8716296113	0.542167418333
5730408K05Rik	Sy	3.3407065824	0.000266674840397	0.0269578633103	5730408K05Rik	4.6579118465	1.3172052641
ENSMUSG00000058672	En	1.78570305987	0.000275269187941	0.027622048587	Tubb2a	1.995742084	0.210039024126
ENSMUSG00000002076	En	1.3555420349	0.000290221453574	0.0289098699045	Hsf2bp	1.4204263775	0.0648843425977
ENSMUSG00000020687	En	3.01118611449	0.000299354317941	0.0294477107949	Cdc27	4.3513763938	1.34019027931
ENSMUSG00000072623	En	-1.15300041186	0.00031756276867	0.0309555650289	Zfp9	1.8366269613	2.98962737316
ENSMUSG00000019920	En	3.86222253795	0.000322504444775	0.0312143131762	Lims1	6.2615788067	2.39935626875
ENSMUSG00000033883	En	1.99679522916	0.000334060852482	0.0318806185582	D3Ertd254e	4.2484078676	2.25161263844
ENSMUSG00000069833	En	1.44834825642	0.000342246238481	0.0324349612261	Ahnak	1.7624689279	0.314120671483
ENSMUSG00000037606	En	2.29494532958	0.000347388450507	0.0326049593712	Osbpl5	2.6656260083	0.370680678724
ENSMUSG00000072955	En	2.28684369953	0.000348818353353	0.0326049593712	Tmsb15l	2.6113244236	0.324480724069
ENSMUSG00000029090	En	1.06379212989	0.000351377414193	0.0326207317789	Gpr125	1.2197851221	0.155992992207
ENSMUSG00000051314	En	2.94093180137	0.000391262455409	0.0360780995201	Ffar2	3.9657601956	1.02482839423
ENSMUSG00000092341	En	-0.969803564417	0.000395863175833	0.0361928900868	Malat1	9.9610798841	10.9308834485
ENSMUSG00000025147	En	4.00594832607	0.000400380201381	0.0361928900868	Mob2	5.9449822924	1.93903396633
ENSMUSG00000069306	En	1.44112344605	0.00040046357464	0.0361928900868	Hist1h4m	1.5140075641	0.072884118046
ENSMUSG00000024186	En	0.7356819035	0.00040998180904	0.0368093536051	Rgs11	0.7356819035	0.0
ENSMUSG00000069540	En	1.91787562699	0.000423740239529	0.0377959676396	Gm4925	2.2754547179	0.357579090908
1700097N02Rik	Sy	2.33411254341	0.000435852657212	0.0386239039803	1700097N02Rik	2.9669849382	0.632872394793
ENSMUSG00000023286	En	1.80988645124	0.000459189066503	0.040429375423	Ube2j2	2.4123060049	0.602419553655
ENSMUSG00000032872	En	2.53115771312	0.000472018538282	0.0412925448201	Cyb5r4	3.2355284902	0.70437077708
ENSMUSG00000030154	En	1.09512328589	0.000485666430386	0.041974098873	Klrb1f	1.1050536129	0.00993032701149
ENSMUSG00000072568	En	2.19360622748	0.000485960842818	0.041974098873	Fam84b	2.983496986	0.789890758517
ENSMUSG00000083311	En	-2.66723789573	0.000491196716921	0.042159506892	Gm5643	4.9859071438	7.65314503953
ENSMUSG00000043088	En	2.01845560401	0.000505148012983	0.0430859683323	Il17re	2.3841575167	0.36570191269
ENSMUSG00000027001	En	2.36002870713	0.000567133854745	0.0477757760229	Dusp19	3.0005540002	0.640525293069
ENSMUSG00000066233	En	2.34202419613	0.000589177730949	0.049328272971	Tmem42	2.8926658297	0.550641633575
ENSMUSG00000044519	En	-1.6838766393	0.000599181073247	0.049859903089	Zfp488	4.4293419703	6.1132186096
