UID	Symbol	Pearson rho	Pearson p-value	Cell State
Inpp4a	Inpp4a	0.262715933272749	1.5487519627763186e-37	10
Plekha2	Plekha2	0.2618711592651837	2.681156072472303e-37	10
Gpsm3	Gpsm3	0.2539202455938203	4.2563922669250637e-35	10
Ccnb1ip1	Ccnb1ip1	0.25283741292365264	8.372260645451509e-35	10
Prr5	Prr5	0.2433045503462169	2.8104791355504636e-32	10
Schip1	Schip1	0.24118505619637554	9.901484497306008e-32	10
Med27	Med27	0.2375397241691952	8.393711724774713e-31	10
Mxra8	Mxra8	0.23748642285031193	8.657865460276099e-31	10
Smim1	Smim1	0.23352334930339622	8.484511099138708e-30	10
Mgat5	Mgat5	0.23247856262107916	1.5377425139693602e-29	10
Enpep	Enpep	0.22928572587610135	9.294656407865354e-29	10
Tm6sf1	Tm6sf1	0.22835011490718884	1.5665819676612324e-28	10
St6galnac3	St6galnac3	0.22529963146745235	8.455118932157234e-28	10
Tspan13	Tspan13	0.2225695342803735	3.74358460099481e-27	10
Stpg1	Stpg1	0.2209829655621054	8.807776077956902e-27	10
Wt1os	Wt1os	0.21873445868571892	2.9277428126837717e-26	10
Stmnd1	Stmnd1	0.2164962931813971	9.551343922942288e-26	10
Mmp23	Mmp23	0.2114334428548173	1.320325352779662e-24	10
Sgip1	Sgip1	0.21090218538306818	1.7325462448654253e-24	10
Raver2	Raver2	0.20929362251377148	3.926792537514194e-24	10
Calml3	Calml3	0.20867729678900324	5.363140539604233e-24	10
Il13ra1	Il13ra1	0.20815384658212918	6.98334371799418e-24	10
Ppm1h	Ppm1h	0.20712763934721162	1.1692969592962743e-23	10
Itga3	Itga3	0.2068875152631463	1.3186683167874792e-23	10
Mustn1	Mustn1	0.20586253516226902	2.199232013983099e-23	10
Adssl1	Adssl1	0.20399715217930658	5.540076508720471e-23	10
Arhgef18	Arhgef18	0.20331526958588933	7.748475474722328e-23	10
4930502E18Rik	4930502E18Rik	0.20207111743967024	1.424686581741865e-22	10
Frem1	Frem1	0.20044478754245823	3.139542139438532e-22	10
Gpc1	Gpc1	0.2000648326105592	3.7723317110221346e-22	10
Siva1	Siva1	0.19966280414736187	4.579426463023418e-22	10
Npr3	Npr3	0.19889189399178445	6.6338870278691565e-22	10
4931409K22Rik	4931409K22Rik	0.19842889262670665	8.281702828068037e-22	10
Trpc7	Trpc7	0.19830726288747405	8.777918296711079e-22	10
Tle4	Tle4	0.19819246758346595	9.27317183881586e-22	10
Tspan2	Tspan2	0.19502037805625053	4.169806355609047e-21	10
Efnb1	Efnb1	0.19488313898625442	4.4474514407416425e-21	10
Epn3	Epn3	0.19296294668890926	1.090503040917776e-20	10
Sh3bp4	Sh3bp4	0.19267532714789443	1.2462943012999453e-20	10
Iqcj	Iqcj	0.1920726190749961	1.647596363428114e-20	10
Tshr	Tshr	0.19206540252471505	1.6531031501564472e-20	10
Ntng2	Ntng2	0.1920618073066508	1.6558533632124144e-20	10
Gm26600	Gm26600	0.19204008801438646	1.6725642617649666e-20	10
Marveld1	Marveld1	0.19172086858648604	1.938285569029479e-20	10
Jund	Jund	0.18485378371835334	4.343464766746018e-19	10
Pls3	Pls3	0.18436116663899707	5.404116820478214e-19	10
Ntn4	Ntn4	0.1834306491990278	8.151534788585388e-19	10
Tdrd5	Tdrd5	0.18324826940151737	8.833183809335903e-19	10
Cpq	Cpq	0.182496103890416	1.2290699604333346e-18	10
RP23-216D14.4	RP23-216D14.4	0.18203035598952336	1.50695075537217e-18	10
Scrn1	Scrn1	0.17913893502211461	5.2769167820920995e-18	10
Mtcl1	Mtcl1	0.17847159996489112	7.026036891460557e-18	10
Eci2	Eci2	0.1781644338489417	8.012644356816893e-18	10
Lrrfip1	Lrrfip1	0.17677934268764903	1.4448729630891868e-17	10
1110008P14Rik	1110008P14Rik	0.1755521227905864	2.4264152635594577e-17	10
Med24	Med24	0.17467945998697193	3.499991527244915e-17	10
Lax1	Lax1	0.1736710017806116	5.332165897654221e-17	10
Rasl11b	Rasl11b	0.1729022200257074	7.337533837821143e-17	10
Nrip2	Nrip2	0.1723306669102198	9.294262086852042e-17	10
Pcdh15	Pcdh15	0.17214932711972322	1.0016465429552266e-16	10
Bcar3	Bcar3	0.17106796612509198	1.5623604869187165e-16	10
Lrrc49	Lrrc49	0.17058924427387137	1.900427564231067e-16	10
Ooep	Ooep	0.1701484831509407	2.274878238540812e-16	10
Wnt5b	Wnt5b	0.17005369707260354	2.3644376547778886e-16	10
Plce1	Plce1	0.16901362283202348	3.606672071547765e-16	10
Sost	Sost	0.16876694906736756	3.9850006423228545e-16	10
Adcy1	Adcy1	0.16785019072835758	5.765828669101669e-16	10
Celsr2	Celsr2	0.16677250438218982	8.877849031908846e-16	10
Gm16316	Gm16316	0.1665956950224302	9.526696149154253e-16	10
Insl6	Insl6	0.16456695674911268	2.128430515889976e-15	10
Kcna1	Kcna1	0.16366717406241962	3.030361387542138e-15	10
Slc48a1	Slc48a1	0.16194544371090333	5.925014003375974e-15	10
Scpep1	Scpep1	0.16111862675767602	8.154706465506948e-15	10
Cd59a	Cd59a	0.1608645686178373	8.992636945817997e-15	10
Msl3l2	Msl3l2	0.1594462503668068	1.5480068681084618e-14	10
Tmem180	Tmem180	0.15902637387341798	1.8163312569098528e-14	10
Rnf5	Rnf5	0.15897248494686006	1.8539221957218385e-14	10
Hoxc5	Hoxc5	0.1586868820660919	2.066283684834244e-14	10
Plcd3	Plcd3	0.15838713624400916	2.314876420541905e-14	10
Mafg	Mafg	0.15760921639945916	3.105482727689791e-14	10
Dach1	Dach1	0.15741643463889654	3.339273068032649e-14	10
Itga11	Itga11	0.1569936146441266	3.914281125606212e-14	10
Ccdc17	Ccdc17	0.1565468734350994	4.627544140569922e-14	10
1810037I17Rik	1810037I17Rik	0.1564799313174144	4.744887875938483e-14	10
Pamr1	Pamr1	0.1552765987240203	7.428686885154643e-14	10
A930012L18Rik	A930012L18Rik	0.15521566532247613	7.59853339802478e-14	10
Tfe3	Tfe3	0.15444995614478016	1.0087159281524387e-13	10
Abat	Abat	0.15386484460937858	1.2513303958824412e-13	10
Tmem163	Tmem163	0.1535674515278527	1.3957550940062753e-13	10
Ccdc155	Ccdc155	0.15340250071604544	1.482792635932788e-13	10
Trib2	Trib2	0.15135585488577302	3.123657297676969e-13	10
Snx31	Snx31	0.1503217796735317	4.534003776230322e-13	10
Cxx1c	Cxx1c	0.1502461041175641	4.658863723583879e-13	10
Ppp1r3e	Ppp1r3e	0.15013353703390028	4.850858066077253e-13	10
Phldb2	Phldb2	0.14938775218443767	6.334033812816039e-13	10
Lyrm9	Lyrm9	0.14934410599689943	6.433436256990486e-13	10
Stac2	Stac2	0.1491503852669352	6.893414362323775e-13	10
Halr1	Halr1	0.14904494452851666	7.157180176079664e-13	10
Cd82	Cd82	0.14593432583243243	2.140923378832379e-12	10
Amhr2	Amhr2	0.1453011521006743	2.6682430320811112e-12	10
Tanc1	Tanc1	0.144560919034022	3.4473714445908855e-12	10
Vgll4	Vgll4	0.14406441157369032	4.0906942012076124e-12	10
Btbd17	Btbd17	0.14338144437919326	5.171216435473369e-12	10
Pabpn1	Pabpn1	0.1427180143562581	6.486518499832026e-12	10
Kctd11	Kctd11	0.14264701679958583	6.645335881982507e-12	10
C130021I20Rik	C130021I20Rik	0.14257103206723715	6.819528401881681e-12	10
Kremen1	Kremen1	0.14231790495865496	7.432691138058457e-12	10
Txnrd2	Txnrd2	0.14119125080237338	1.0883459627627613e-11	10
Btg3	Btg3	0.14029167303323062	1.4725190373194937e-11	10
Btbd1	Btbd1	0.14018685542847745	1.525121730373506e-11	10
Gm17322	Gm17322	0.14014091234540996	1.5487538744009033e-11	10
Ston1	Ston1	0.1401174707439174	1.5609494351002286e-11	10
Cacna2d2	Cacna2d2	0.13891029896056176	2.333672149455743e-11	10
Cyb5r3	Cyb5r3	0.13716340568923455	4.150547464257714e-11	10
Trp53inp1	Trp53inp1	0.13706494673189876	4.286528491312026e-11	10
Vegfa	Vegfa	0.13699839462367594	4.3809005004365235e-11	10
Ryr1	Ryr1	0.13630410537824625	5.494845801959508e-11	10
Fbxo44	Fbxo44	0.13618837535034764	5.705686929544712e-11	10
Alox12b	Alox12b	0.13579480711446898	6.483580562013439e-11	10
Cst12	Cst12	0.13579480711446892	6.483580562013439e-11	10
Extl1	Extl1	0.13579480711446892	6.483580562013439e-11	10
Gm43614	Gm43614	0.13579480711446892	6.483580562013439e-11	10
Lctl	Lctl	0.13579480711446892	6.483580562013439e-11	10
RP24-136L4.5	RP24-136L4.5	0.13579480711446892	6.483580562013439e-11	10
1700116B05Rik	1700116B05Rik	0.1357948071144689	6.483580562013439e-11	10
Bmp15	Bmp15	0.1357948071144689	6.483580562013439e-11	10
Etd	Etd	0.1357948071144689	6.483580562013439e-11	10
Gm28979	Gm28979	0.1357948071144689	6.483580562013439e-11	10
Gm8994	Gm8994	0.1357948071144689	6.483580562013439e-11	10
Il25	Il25	0.1357948071144689	6.483580562013439e-11	10
Pdx1	Pdx1	0.1357948071144689	6.483580562013439e-11	10
Sec31b	Sec31b	0.1357948071144689	6.483580562013439e-11	10
Spink13	Spink13	0.1357948071144689	6.483580562013439e-11	10
Styxl1	Styxl1	0.1357948071144689	6.483580562013439e-11	10
Tdrd12	Tdrd12	0.1357948071144689	6.483580562013439e-11	10
Vwa5b1	Vwa5b1	0.1357948071144689	6.483580562013439e-11	10
1700010H22Rik	1700010H22Rik	0.13579480711446887	6.483580562013439e-11	10
Defb23	Defb23	0.13579480711446887	6.483580562013439e-11	10
Fscn3	Fscn3	0.13579480711446887	6.483580562013439e-11	10
Gm10640	Gm10640	0.13579480711446887	6.483580562013439e-11	10
Gm17281	Gm17281	0.13579480711446887	6.483580562013439e-11	10
Kcnk15	Kcnk15	0.13579480711446887	6.483580562013439e-11	10
Slc6a1	Slc6a1	0.13579480711446887	6.483580562013439e-11	10
Syna	Syna	0.13579480711446887	6.483580562013439e-11	10
1700029N11Rik	1700029N11Rik	0.13579480711446884	6.483580562014337e-11	10
Cfap52	Cfap52	0.13579480711446884	6.483580562014337e-11	10
Duox2	Duox2	0.1357948071144688	6.483580562014337e-11	10
Kcnq2	Kcnq2	0.1357948071144688	6.483580562014337e-11	10
Prg4	Prg4	0.1357948071144688	6.483580562014337e-11	10
Angptl2	Angptl2	0.1352454163663583	7.745171923370752e-11	10
Mrgprf	Mrgprf	0.13520682013431612	7.842310042103434e-11	10
Csnk1a1	Csnk1a1	0.1342888289669845	1.0537447715414569e-10	10
Dpys	Dpys	0.13424318187703213	1.0692815058783346e-10	10
Zbtb8a	Zbtb8a	0.13363010121865676	1.3009455673215106e-10	10
Fndc3b	Fndc3b	0.13346151479112378	1.3728109472387735e-10	10
Entpd3	Entpd3	0.13164944141358195	2.436478401025827e-10	10
Rhpn1	Rhpn1	0.13066448683070261	3.317217179357085e-10	10
Klhdc8a	Klhdc8a	0.13013736287429667	3.9091698062911487e-10	10
Aff1	Aff1	0.12984756718429194	4.2772773129297393e-10	10
Thsd4	Thsd4	0.12981080528209582	4.3263245310458383e-10	10
Cers6	Cers6	0.12980326738340708	4.336449055780623e-10	10
Gm15441	Gm15441	0.12979528826675243	4.3471913825531e-10	10
Fam184a	Fam184a	0.12897796667122702	5.596649433317734e-10	10
Cdc14a	Cdc14a	0.12894715864837264	5.65002626757582e-10	10
Cpxm1	Cpxm1	0.1288804189952159	5.767365015583513e-10	10
Gxylt2	Gxylt2	0.1287061835556935	6.085010724018328e-10	10
Smco3	Smco3	0.12746323925554576	8.901443379982162e-10	10
Gdpd2	Gdpd2	0.12745642157641462	8.919945681663245e-10	10
Ccdc25	Ccdc25	0.12696372073790813	1.0361104566507666e-09	10
Rnase9	Rnase9	0.1267439091691351	1.1075017433564514e-09	10
Tigd4	Tigd4	0.12672134244269828	1.115096752250435e-09	10
Gdf5	Gdf5	0.12659208579690104	1.1595867836588863e-09	10
Krcc1	Krcc1	0.12638486001824137	1.2345461867704028e-09	10
Lbx1	Lbx1	0.12595598412953304	1.4049788982196115e-09	10
4930578M01Rik	4930578M01Rik	0.12575890904629008	1.490782707617566e-09	10
Fam189a1	Fam189a1	0.12468948666971445	2.053172482889755e-09	10
Creb3l2	Creb3l2	0.12441428464649729	2.2284837442424037e-09	10
Pard3b	Pard3b	0.1239866577075972	2.530166711698782e-09	10
Dctn3	Dctn3	0.1227988265054089	3.591989524991844e-09	10
Tgfbr3	Tgfbr3	0.12233974984362908	4.109298325371441e-09	10
BC029214	BC029214	0.12215275959908327	4.340171665188996e-09	10
Gucy2g	Gucy2g	0.12201799938704129	4.514329666427246e-09	10
Arhgef12	Arhgef12	0.12185383477325004	4.735686064677999e-09	10
Fam65a	Fam65a	0.12159398967217995	5.107794695545939e-09	10
Unc5a	Unc5a	0.12141601233655357	5.37891110407065e-09	10
Gab2	Gab2	0.12069108580778713	6.635116091737893e-09	10
Ppfibp2	Ppfibp2	0.12026957218965963	7.492133241870875e-09	10
Nxn	Nxn	0.11925446783926535	1.0021141094808604e-08	10
Tmod3	Tmod3	0.1191341440566121	1.0370986968465555e-08	10
Prrg4	Prrg4	0.11875510714358982	1.1552353964641237e-08	10
Baiap2l1	Baiap2l1	0.11794624585507768	1.4526544686332141e-08	10
Decr1	Decr1	0.11780858581323207	1.5101806247566505e-08	10
Fbxo7	Fbxo7	0.11756214344183769	1.6187357465018182e-08	10
Naaa	Naaa	0.11748929561154509	1.652249390272832e-08	10
4930455G09Rik	4930455G09Rik	0.11726029036103124	1.7620477106239572e-08	10
C8g	C8g	0.1166870649978758	2.0688417603472713e-08	10
6430571L13Rik	6430571L13Rik	0.11661823855865615	2.108991784562105e-08	10
Gm10778	Gm10778	0.11622433654490498	2.3537331303855683e-08	10
Gm15520	Gm15520	0.11609185537442578	2.4420750942871354e-08	10
Gm26765	Gm26765	0.1159644054143693	2.5300924199303668e-08	10
Arhgap28	Arhgap28	0.11580012127850699	2.6480962098640757e-08	10
Dnase2a	Dnase2a	0.11572083296586555	2.7069410729050334e-08	10
Mpp5	Mpp5	0.11571191539226089	2.7136381594828568e-08	10
Rmnd5a	Rmnd5a	0.1153742908307258	2.979356365956361e-08	10
H2-Q7	H2-Q7	0.11509309127845824	3.219770310268893e-08	10
RP24-136L4.6	RP24-136L4.6	0.1147609479249295	3.52801422412157e-08	10
Myh3	Myh3	0.11449649915061	3.793707178465705e-08	10
Ankfn1	Ankfn1	0.11428838049746999	4.0163428953442e-08	10
Sh3bgrl2	Sh3bgrl2	0.11400044279505477	4.3453482586428484e-08	10
Gm28873	Gm28873	0.11396645051674509	4.385870468376396e-08	10
Olfml2a	Olfml2a	0.11396494752441313	4.387670612554329e-08	10
Gm26612	Gm26612	0.11368365565753558	4.737485463627744e-08	10
Onecut2	Onecut2	0.11303631546894184	5.6482099984600896e-08	10
Selk	Selk	0.11302297343692665	5.66865831979958e-08	10
Spsb2	Spsb2	0.11253757215773963	6.463340663989875e-08	10
4921504A21Rik	4921504A21Rik	0.11216114950290478	7.152842681940653e-08	10
Tspan5	Tspan5	0.11193793921570386	7.59478070295927e-08	10
Cttnbp2	Cttnbp2	0.11126368496113555	9.09620386873991e-08	10
Syt9	Syt9	0.11091155049570774	9.990677027414819e-08	10
E130308A19Rik	E130308A19Rik	0.11084617200465836	1.0165860987664867e-07	10
Tnpo3	Tnpo3	0.11079499936760577	1.0305049251904649e-07	10
Bri3	Bri3	0.11010036009149766	1.238680788796078e-07	10
Tulp3	Tulp3	0.10965472670039547	1.393057185501275e-07	10
Clec2l	Clec2l	0.1095439268503249	1.4342365028155267e-07	10
Tet3	Tet3	0.10937152169286847	1.5006610533133213e-07	10
Rai14	Rai14	0.10917235144047965	1.581101595477925e-07	10
Slc17a7	Slc17a7	0.1090394654206064	1.637072198480622e-07	10
Ttn	Ttn	0.10900225483307877	1.6530850676638114e-07	10
Usp20	Usp20	0.1086693968057578	1.8032186633520006e-07	10
Vmn1r53	Vmn1r53	0.10826256408858563	2.00466230491951e-07	10
Derl3	Derl3	0.10825476118055741	2.0087307644289586e-07	10
Platr5	Platr5	0.1067847500824364	2.935731036789555e-07	10
RP24-402O2.2	RP24-402O2.2	0.10671220019281295	2.990842035062205e-07	10
Lrrc28	Lrrc28	0.10644122551599368	3.20564522234119e-07	10
Fbxo3	Fbxo3	0.10562923486816113	3.9421993328064066e-07	10
Sp6	Sp6	0.10524848026885704	4.341415641432157e-07	10
Trim8	Trim8	0.10502239805305423	4.5966114339772627e-07	10
Cxcl10	Cxcl10	0.10452202799693183	5.213852023388213e-07	10
Polr3b	Polr3b	0.10412954227944768	5.75316273643398e-07	10
Phf1	Phf1	0.10375113320202999	6.323771279758995e-07	10
Hexim1	Hexim1	0.10360508061408104	6.558271567697397e-07	10
Dmrtc1a	Dmrtc1a	0.10341332884094705	6.878888787511681e-07	10
1700028I16Rik	1700028I16Rik	0.10308996978336528	7.454034562094901e-07	10
E130309D14Rik	E130309D14Rik	0.1030194984240297	7.585385859417364e-07	10
Mvp	Mvp	0.10289480830561545	7.823273702175387e-07	10
Ccdc186	Ccdc186	0.10278767339683	8.033390836540251e-07	10
Hhipl2	Hhipl2	0.10273282851506534	8.143046394039281e-07	10
Arf6	Arf6	0.10216283288677343	9.37137219510583e-07	10
Cab39	Cab39	0.10188639898697446	1.0029477382387364e-06	10
Aph1a	Aph1a	0.10186289163630398	1.008744783060558e-06	10
Spdef	Spdef	0.10168286369193648	1.0542217796827718e-06	10
Chchd7	Chchd7	0.10164237791063033	1.064717206280981e-06	10
Zswim6	Zswim6	0.10128311883000199	1.1623588351517681e-06	10
B3gat3	B3gat3	0.10100716465495	1.243148918181932e-06	10
Tmem59	Tmem59	0.10093331141630685	1.2656701119845518e-06	10
4833445I07Rik	4833445I07Rik	0.10041266893524982	1.4359390495876994e-06	10
Gm14019	Gm14019	0.10033748162432453	1.4622776128910713e-06	10
Slc7a5	Slc7a5	0.10016305106763453	1.5251813867701446e-06	10
Gm15816	Gm15816	0.09985637298976953	1.6421323747077367e-06	10
Grhl1	Grhl1	0.09911224804103741	1.9627996351139426e-06	10
Gm16537	Gm16537	0.09841903289727687	2.314997027268041e-06	10
Gm12474	Gm12474	0.09839996182447885	2.32549577853488e-06	10
Csf3	Csf3	0.09783931338285898	2.655369972042536e-06	10
Lysmd3	Lysmd3	0.09748851828390781	2.8841175336111343e-06	10
Rbms2	Rbms2	0.09730906432023159	3.0083258766828254e-06	10
Il17rc	Il17rc	0.09687852766674733	3.327577446658342e-06	10
Gm9830	Gm9830	0.09686875200315104	3.335190412340021e-06	10
Klrg2	Klrg2	0.09632183217445159	3.7887474665494557e-06	10
Cdhr1	Cdhr1	0.09598272106749868	4.099038656787424e-06	10
Sbsn	Sbsn	0.09591715477668307	4.161776684680381e-06	10
D930030I03Rik	D930030I03Rik	0.09585431871644269	4.222764466934278e-06	10
Uprt	Uprt	0.095422155104156	4.666001577874215e-06	10
Col19a1	Col19a1	0.09538135495433804	4.710074904833107e-06	10
2310030G06Rik	2310030G06Rik	0.09521601739202415	4.892790227759528e-06	10
Xntrpc	Xntrpc	0.0951692706268495	4.94566825138404e-06	10
Gm1976	Gm1976	0.09459995021453922	5.6351777276520765e-06	10
Gm26610	Gm26610	0.0935699558846076	7.122704364909047e-06	10
BC031181	BC031181	0.09347635287269687	7.275096929840608e-06	10
Smyd1	Smyd1	0.09337476186239849	7.444019388504063e-06	10
Ttll13	Ttll13	0.0932704199659113	7.621414413085124e-06	10
Slc9a2	Slc9a2	0.09311380933546219	7.895273813959833e-06	10
Tmem150cos	Tmem150cos	0.09302193026519386	8.060288881690995e-06	10
Gramd2	Gramd2	0.0928134917519546	8.44694714232645e-06	10
Tmsb15l	Tmsb15l	0.09255604923853031	8.948992128674435e-06	10
Net1	Net1	0.09230367588698472	9.468726290190114e-06	10
Man1a2	Man1a2	0.09192219770805625	1.0309378968280546e-05	10
Fut8	Fut8	0.09190874048199658	1.0340297743304754e-05	10
Wash1	Wash1	0.09174051030373374	1.073436182434676e-05	10
Avpi1	Avpi1	0.09145273706771126	1.1441878257262186e-05	10
Eno2	Eno2	0.09119348909231492	1.2117165478042377e-05	10
Ypel5	Ypel5	0.09103361614811241	1.2552372026827294e-05	10
Cpeb4	Cpeb4	0.09051993424225462	1.4053861777918673e-05	10
Slc38a5	Slc38a5	0.09042712859053136	1.4342783313969533e-05	10
Gm4208	Gm4208	0.09003697711241006	1.5620494354264833e-05	10
Snph	Snph	0.08981992644322616	1.637752871397407e-05	10
Mgat3	Mgat3	0.08977074789689449	1.6553846364416257e-05	10
Srp14	Srp14	0.08948658886898016	1.7608565016467066e-05	10
Chst15	Chst15	0.08929752598589194	1.834543537613192e-05	10
Kansl3	Kansl3	0.0892164766991595	1.8670232665750214e-05	10
Zfp341	Zfp341	0.08921587007470622	1.867268416890323e-05	10
Igfals	Igfals	0.0890014564573025	1.9558640356831798e-05	10
Gabrr2	Gabrr2	0.08875151869651192	2.064188240805301e-05	10
Med12l	Med12l	0.08874406042946782	2.067506799438806e-05	10
AI987944	AI987944	0.0884679404465195	2.194001751262104e-05	10
Smdt1	Smdt1	0.08817936078620073	2.3340552885705927e-05	10
Tmem87b	Tmem87b	0.08754144595792354	2.6744150745747733e-05	10
Ackr3	Ackr3	0.08709939339128689	2.9373948943858498e-05	10
Nacc2	Nacc2	0.08708706432227407	2.945070408415616e-05	10
Pnpla8	Pnpla8	0.08683538925870854	3.105978533494512e-05	10
Rnf150	Rnf150	0.08681337234049954	3.1204453262142014e-05	10
Lcmt2	Lcmt2	0.0861984356037801	3.551341255398532e-05	10
Pigb	Pigb	0.08607182273689455	3.6468091458829764e-05	10
1700042O10Rik	1700042O10Rik	0.08577616873696284	3.879306513425084e-05	10
Klk6	Klk6	0.08536163979426892	4.2290612831933905e-05	10
Timm22	Timm22	0.08521237218689476	4.362171697374514e-05	10
Irgq	Irgq	0.08510185343176009	4.463276186263246e-05	10
2810402E24Rik	2810402E24Rik	0.08503007928022369	4.5301217794286904e-05	10
Zc3h14	Zc3h14	0.08491756045443802	4.636827186373243e-05	10
Trank1	Trank1	0.08467352501958955	4.876495559741547e-05	10
Itgae	Itgae	0.0846479294683348	4.902302195012319e-05	10
Arhgap1	Arhgap1	0.08446737518409855	5.0880548880987245e-05	10
Txndc15	Txndc15	0.08442291403142209	5.1348085348953115e-05	10
Gm21994	Gm21994	0.0840206244036829	5.576738618157353e-05	10
Rbakdn	Rbakdn	0.08381867658604442	5.811933319102191e-05	10
Clic3	Clic3	0.08357200300793982	6.111960207305846e-05	10
Natd1	Natd1	0.08355928825154503	6.127815528216895e-05	10
Atp6v1c1	Atp6v1c1	0.08351866301213244	6.178736487738716e-05	10
Cd59b	Cd59b	0.08296152677674128	6.918728033145006e-05	10
Dynlt3	Dynlt3	0.0827285272450788	7.25240717787522e-05	10
Tdp2	Tdp2	0.08264869225948036	7.370196923117044e-05	10
D030068K23Rik	D030068K23Rik	0.08248494721600097	7.617469731430289e-05	10
Mtif3	Mtif3	0.08244919839493867	7.67248709617148e-05	10
Nit1	Nit1	0.08239182256862823	7.761573995468584e-05	10
Comt	Comt	0.08217894956921953	8.1007136600185e-05	10
Jtb	Jtb	0.0820098142872785	8.380101693327263e-05	10
Sacm1l	Sacm1l	0.08171931961105125	8.881309053651096e-05	10
Ppp2r5b	Ppp2r5b	0.08161894005475664	9.060983618026149e-05	10
Asb10	Asb10	0.08156036202522249	9.167415211143916e-05	10
RP23-78N8.4	RP23-78N8.4	0.08140882138087581	9.448253789019763e-05	10
Acsl6	Acsl6	0.08139495376063546	9.474355113043659e-05	10
Stc2	Stc2	0.08108577295799638	0.00010074264872521293	10
Kbtbd13	Kbtbd13	0.08088718679985513	0.00010478295582583675	10
Smim19	Smim19	0.08060886695146782	0.00011070325967912865	10
