ArrayName	LibraryFile	AnnotationFile	Species	ArrayType
Chicken	Chicken.cdf	Chicken.na29.annot.csv	Gg	3'array
Citrus	Citrus.cdf	Citrus.na29.annot.csv	Ca	3'array
Cotton	Cotton.cdf	Cotton.na29.annot.csv	Gh	3'array
DrosGenome1	DrosGenome1.cdf	DrosGenome1.na29.annot.csv	Dm	3'array
Drosophila_2	Drosophila_2.cdf	Drosophila_2.na29.annot.csv	Dm	3'array
E_coli_2	E_coli_2.cdf	E_coli_2.na29.annot.csv	Ec	3'array
Ecoli	Ecoli.cdf	Ecoli_ASv2.na29.annot.csv	Ec	3'array
Maize	Maize.cdf	Maize.na30.annot.csv	Zm	3'array
Medicago	Medicago.cdf	Medicago.na29.annot.csv	Mt	3'array
Pae_G1a	Pae_G1a.cdf	Pae_G1a.na29.annot.csv	Pa	3'array
Plasmodium_Anopheles	Plasmodium_Anopheles.cdf	Plasmodium_Anopheles.na29.annot.csv	Pf	3'array
Poplar	Poplar.cdf	Poplar.na29.annot.csv	Po	3'array
Porcine	Porcine.cdf	Porcine.na29.annot.csv	Ss	3'array
Rhesus	Rhesus.cdf	Rhesus.na29.annot.csv	Ma	3'array
Rice	Rice.cdf	Rice.na29.annot.csv	Os	3'array
S_aureus	S_aureus.cdf	S_aureus.na29.annot.csv	Su	3'array
Soybean	Soybean.cdf	Soybean.na29.annot.csv	Gm	3'array
Sugar_Cane	Sugar_Cane.cdf	Sugar_Cane.na29.annot.csv	So	3'array
Tomato	Tomato.cdf	Tomato.na29.annot.csv	Sl	3'array
Vitis_Vinifera	Vitis_Vinifera.cdf	Vitis_Vinifera.na29.annot.csv	Vv	3'array
wheat	wheat.cdf	wheat.na29.annot.csv	Ta	3'array
X_laevis_2	X_laevis_2.cdf	X_laevis_2.na29.annot.csv	Xl	3'array
X_tropicalis	X_tropicalis.cdf	X_tropicalis.na29.annot.csv	Xt	3'array
Xenopus_laevis	Xenopus_laevis.cdf	Xenopus_laevis.na29.annot.csv	Xl	3'array
Yeast_2	Yeast_2.cdf	Yeast_2.na29.annot.csv	Sc	3'array
YG_S98	YG_S98.cdf	YG_S98.na29.annot.csv	Sc	3'array
Zebrafish	Zebrafish.cdf	Zebrafish.na29.annot.csv	Dr	3'array
MJAY_r2	MJAY_r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	junction
HJAY_r2	HJAY_r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	junction
mjay	MJAY_r2.pgf	MoGene-1_0-st-v1.na28.mm9.transcript.csv	Mm	junction
hjay	HJAY_r2.pgf	HuGene-1_0-st-v1.na28.hg18.transcript.csv	Hs	junction
